Recovery.status,Shark.common.name,Provoked/unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,other,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,other,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,tiger shark,Unprovoked
injured,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,other,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,white shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
fatal,white shark,Unprovoked
injured,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,tiger shark,Unprovoked
injured,other,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
injured,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
fatal,bull shark,Unprovoked
injured,white shark,Unprovoked
fatal,other,Unprovoked
fatal,other,Unprovoked
injured,white shark,Unprovoked
injured,bull shark,Unprovoked
fatal,other,Unprovoked
injured,bull shark,Unprovoked
injured,tiger shark,Unprovoked
fatal,white shark,Unprovoked